0.85,-0.17,8.82,0.00,0.01,-0.01,29.74
0.86,-0.17,8.81,0.00,0.01,-0.00,29.75
0.85,-0.17,8.82,0.00,0.01,-0.01,29.74
0.86,-0.17,8.82,0.00,0.01,-0.01,29.75
0.87,-0.17,8.82,0.00,0.01,-0.01,29.74
0.85,-0.18,8.81,0.00,0.01,-0.01,29.74
0.85,-0.17,8.81,0.00,0.01,-0.01,29.74
0.85,-0.17,8.83,0.00,0.01,-0.01,29.74
0.85,-0.17,8.81,0.00,0.01,-0.01,29.74
0.87,-0.18,8.83,0.00,0.01,-0.01,29.75
0.85,-0.15,8.82,0.00,0.01,-0.01,29.75
0.85,-0.18,8.82,0.00,0.01,-0.01,29.75
0.87,-0.16,8.82,0.00,0.01,-0.01,29.76
0.84,-0.16,8.80,0.00,0.01,-0.01,29.76
0.85,-0.17,8.85,0.00,0.01,-0.00,29.75
0.88,-0.15,8.83,0.00,0.01,-0.01,29.75
0.84,-0.18,8.83,0.00,0.01,-0.01,29.75
0.87,-0.14,8.81,0.00,0.01,-0.01,29.74
0.88,-0.18,8.83,0.00,0.01,-0.01,29.76
0.85,-0.14,8.82,0.00,0.01,-0.01,29.74
0.87,-0.17,8.83,0.00,0.01,-0.01,29.74
0.87,-0.15,8.80,0.00,0.01,-0.01,29.74
0.84,-0.17,8.82,0.00,0.01,-0.01,29.75
0.87,-0.15,8.82,0.00,0.01,-0.01,29.74
0.85,-0.18,8.83,0.00,0.01,-0.01,29.75
0.85,-0.15,8.84,0.00,0.01,-0.01,29.74
0.86,-0.18,8.84,0.00,0.01,-0.01,29.74
0.86,-0.16,8.82,0.00,0.01,-0.01,29.74
0.85,-0.17,8.82,0.00,0.01,-0.01,29.74
0.87,-0.16,8.83,0.00,0.01,-0.01,29.74
0.86,-0.16,8.82,0.00,0.01,-0.01,29.73
0.85,-0.17,8.82,0.00,0.01,-0.01,29.73
0.87,-0.15,8.82,0.00,0.01,-0.01,29.73
0.85,-0.18,8.83,0.00,0.01,-0.01,29.73
0.86,-0.16,8.83,0.00,0.01,-0.01,29.72
0.87,-0.19,8.84,0.00,0.01,-0.01,29.72
0.86,-0.15,8.83,0.00,0.01,-0.01,29.74
0.85,-0.18,8.83,0.00,0.01,-0.01,29.74
0.87,-0.14,8.82,0.00,0.01,-0.01,29.73
0.85,-0.17,8.83,0.00,0.01,-0.01,29.73
0.86,-0.16,8.83,0.00,0.01,-0.01,29.73
0.87,-0.17,8.83,0.00,0.01,-0.01,29.72
0.84,-0.15,8.80,0.00,0.01,-0.01,29.73
0.87,-0.18,8.82,0.00,0.01,-0.01,29.72
0.85,-0.16,8.82,0.00,0.01,-0.01,29.72
0.85,-0.17,8.82,0.00,0.01,-0.01,29.73
0.87,-0.17,8.83,0.00,0.01,-0.01,29.73
0.86,-0.16,8.82,0.00,0.01,-0.01,29.72
0.85,-0.16,8.82,0.00,0.01,-0.01,29.72
0.87,-0.16,8.82,0.00,0.01,-0.01,29.72
0.85,-0.17,8.82,0.00,0.01,-0.01,29.72
0.86,-0.17,8.80,0.00,0.01,-0.01,29.72
0.87,-0.16,8.84,0.00,0.01,-0.01,29.71
0.85,-0.16,8.83,0.00,0.01,-0.01,29.73
0.86,-0.17,8.83,0.00,0.01,-0.01,29.72
0.87,-0.16,8.83,0.00,0.01,-0.01,29.71
0.86,-0.16,8.82,0.00,0.01,-0.01,29.72
0.86,-0.18,8.83,0.00,0.01,-0.01,29.70
0.87,-0.16,8.83,0.00,0.01,-0.01,29.71
0.86,-0.18,8.82,0.00,0.01,-0.01,29.71
0.86,-0.17,8.83,0.00,0.01,-0.01,29.72
0.87,-0.17,8.82,0.00,0.01,-0.01,29.72
0.85,-0.16,8.84,0.00,0.01,-0.01,29.71
0.87,-0.17,8.84,0.00,0.01,-0.01,29.70
0.85,-0.17,8.82,0.00,0.01,-0.01,29.71
0.86,-0.17,8.82,0.00,0.01,-0.01,29.69
0.86,-0.17,8.83,0.00,0.01,-0.01,29.71
0.87,-0.16,8.85,0.00,0.01,-0.01,29.71
0.84,-0.16,8.84,0.00,0.01,-0.01,29.72
0.86,-0.15,8.81,0.00,0.01,-0.01,29.71
0.85,-0.18,8.84,0.00,0.01,-0.01,29.71
0.86,-0.16,8.82,0.00,0.01,-0.01,29.71
0.86,-0.18,8.83,0.00,0.01,-0.01,29.71
0.85,-0.15,8.81,0.00,0.01,-0.01,29.71
0.85,-0.17,8.83,0.00,0.01,-0.01,29.71
